"SELECT","NAME","FULL_NAME","ST","ST_CLADE","period"
"AmsHSX","AmsHSX-SPLIT1","A1_000_AmsHSX_AmsHSX-SPLIT1","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT81","02AG_000_AmsHSX_AmsHSX-SPLIT81","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT10","A1_000_AmsHSX_AmsHSX-SPLIT10","A1",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT38","C_000_AmsHSX_AmsHSX-SPLIT38","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT73","C_000_AmsHSX_AmsHSX-SPLIT73","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT30","02AG_000_AmsHSX_AmsHSX-SPLIT30","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT57","02AG_000_AmsHSX_AmsHSX-SPLIT57","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT107","02AG_000_AmsHSX_AmsHSX-SPLIT107","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT11","A1_000_AmsHSX_AmsHSX-SPLIT11","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT20","02AG_000_AmsHSX_AmsHSX-SPLIT20","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT15","C_000_AmsHSX_AmsHSX-SPLIT15","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT7","06cpx_000_AmsHSX_AmsHSX-SPLIT7","06cpx",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT11","G_000_AmsHSX_AmsHSX-SPLIT11","G",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT52","02AG_000_AmsHSX_AmsHSX-SPLIT52","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT30","C_000_AmsHSX_AmsHSX-SPLIT30","C",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT21","02AG_000_AmsHSX_AmsHSX-SPLIT21","02AG",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT39","02AG_000_AmsHSX_AmsHSX-SPLIT39","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT72","C_000_AmsHSX_AmsHSX-SPLIT72","C",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT1","02AG_000_AmsHSX_AmsHSX-SPLIT1","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT27","A1_000_AmsHSX_AmsHSX-SPLIT27","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT110","02AG_000_AmsHSX_AmsHSX-SPLIT110","02AG",NA,"post-startd"
"AmsHSX","AmsHSX-SPLIT67","02AG_000_AmsHSX_AmsHSX-SPLIT67","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT41","A1_000_AmsHSX_AmsHSX-SPLIT41","A1",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT13","D_000_AmsHSX_AmsHSX-SPLIT13","D",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT7","G_000_AmsHSX_AmsHSX-SPLIT7","G",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT99","02AG_000_AmsHSX_AmsHSX-SPLIT99","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT23","02AG_000_AmsHSX_AmsHSX-SPLIT23","02AG",NA,"pre-startd"
"AmsHSX","AmsHSX-SPLIT72","02AG_000_AmsHSX_AmsHSX-SPLIT72","02AG",NA,"pre-startd"
